NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
GUM,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
H,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
H-CAPS,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
HAIRY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
HARD CANDY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
HARD ONE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
METHCATHINONE,METHCATHINONE,GENERIC_NAME,METHCATHINONE,SCHEDULE I,,,ALKALOID
HARRY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
METHYLENEDIOXYPYROVALERONE,METHYLENEDIOXYPYROVALERONE,GENERIC_NAME,METHYLENEDIOXYPYROVALERONE,SCHEDULE I,,,DRUG
HATS,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
HAZEL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
PHENOBARBITAL,PHENOBARBITAL,GENERIC_NAME,PHENOBARBITAL,SCHEDULE IV,,,MEDICATION
